Item,Item_Type,Item_Tier,Cost,Total_Cost,Stats,Passive_Effect
Heroism,"Starter, Defensive, Utility",Tier 2,1250,1850,+350 Health +20 HP5 +20 MP5,"You gain 8 GP5 if you have the lowest gold on your team. When an ally god within 55 units of you is hit by a hard crowd control effect, give them a shield equal to 15% of your Maximum Health. This effect can only occur once every 15s."
Spartan Flag,"Starter, Offensive, Defensive, Utility",Tier 2,1250,1850,+35 Physical Protection +35 Magical Protection +250 Health +15 MP5,"You gain 8 GP5 if you have the lowest gold on your team. When you damage an enemy god you call down a Spartan Flag at your location, providing 10% increased Power and 15% Attack Speed to allies standing in the radius. Lasts for 10s, can only occur once every 10s."
War Banner,"Starter, Offensive, Defensive, Utility",Tier 2,1250,1850,+35 Physical Protection +35 Magical Protection +250 Health +15 MP5,"You gain 8 GP5 if you have the lowest gold on your team. Getting an assist for an enemy dying provides a stack that provides 2% Movement Speed and 4% Attack Speed for 10s to nearby allies up to 10 stacks. When you've gained 4 or more stacks from assists, once per ability, each time you damage an enemy god you restore 1% Health and 1.25% Mana to nearby allies within 55 units and refresh the duration of these stacks."
Lono's Mask,"Starter, Defensive, Utility",Tier 2,1250,1900,+250 Health +200 Mana +10% Crowd Control Reduction,"Gain 6 GP5 if you have the lowest gold on your team. Gain 5 stacks of Cowardice. Each stack reduces your damage dealt and healing output by 10%. For each 45 protections from items, remove a stack of Cowardice. When you remove a stack of Cowardice gain a stack of Bravery. For each stack of Bravery, gain +2% Damage Mitigation and provide 4 Physical and Magical Protections to all allied gods within 55 units."
Bumba's Hammer,"Starter, Offensive, Defensive, Utility",Tier 2,1500,2100,+45 Physical Power +60 Magical Power +100 Health +10% Cooldown Reduction,"After casting an ability your next Basic Attack deals an additional 70 True Damage. After hitting a Basic Attack empowered by Bumba’s Hammer, your active cooldowns are reduced by 0.5s and you are healed for 80 Health."
Bumba's Spear,"Starter, Offensive, Defensive, Utility",Tier 2,1500,2100,+50 Physical Power +75 Magical Power +10% Penetration +10% Cooldown Reduction,"Your Basic Attacks deal +50 True Damage and your Abilities deal +35% damage against Jungle Camps, Structures, and Jungle Bosses. When any of these die you gain a 10% power buff for 30s and are healed for 8% of their Health, 10% of your Mana."
Axe of Animosity,"Starter, Defensive, Utility",Tier 2,1500,2150,+30 Physical Protection +30 Magical Protection +300 Health +30% Crowd Control Reduction,Your Basic Attacks deal bonus damage equal to 2.5% of your Maximum Health as Magical Damage to enemies and structures.
Blood-soaked Shroud,"Starter, Offensive, Defensive",Tier 2,1500,2150,+70 Magical Power +300 Health +15 MP5 +18% Magical Lifesteal,Damaging any enemy with an ability restores 1% Health and Mana. Can only trigger once per target per ability.
Bluestone Brooch,"Starter, Offensive, Defensive, Utility",Tier 2,1500,2150,+30 Physical Power +150 Health +30 HP5 +30 MP5,Enemies hit by your damaging abilities take an additional 160 Physical Damage over 2s. Enemy gods take an additional 10% of their Current Health as Physical Damage over 2s. Subsequent hits on the same target do half the bonus damage for the next 3s.
Corrupted Bluestone,"Starter, Offensive, Defensive, Utility",Tier 2,1500,2150,+35 Physical Power +100 Health +20 HP5 +20 MP5,"Enemies hit by your damaging Abilities are corrupted, taking 300 Physical Damage over 6s and reducing their Attack Speed by 10%. Subsequent hits on the same target do half the bonus damage for the next 3s. Each time you apply corruption you gain 10% Attack Speed and 5% increased Protections for 6s, up to a maximum of 5 stacks."
Death's Embrace,"Starter, Offensive, Defensive",Tier 2,1500,2150,+45 Physical Power +80 Magical Power +150 Health,"Hitting an enemy with a Basic Attack restores 1.4% of your Health, 2% of your Mana and reduces your active non-Ultimate Cooldowns by 0.33s. Basic Attacks that deal damage in an AoE restore less health (75% for Melee Attacks, 50% for Ranged Attacks) for each enemy hit after the first and only count once for the Cooldown reduction effect."
Death's Temper,"Starter, Offensive, Defensive",Tier 2,1500,2150,+35 Physical Power +50 Magical Power +150 Health +30% Attack Speed,When an enemy dies within 80 units of you gain 1 stack of Temper that provides 7% increased Basic Attack Damage for 10s. This can stack up to 10 times. If an enemy god dies near you immediately gain 5 stacks.
Diamond Arrow,"Starter, Offensive, Defensive",Tier 2,1500,2150,+70 Basic Attack Damage +100 Health +10% Penetration,When you kill an enemy you gain 7 gold and 25% Attack Speed for 8s. This can stack up to 3 times. If you kill an enemy god you gain 3 stacks and 21 gold immediately.
Hunter's Cowl,"Starter, Offensive, Utility",Tier 2,1500,2150,+50 Physical Power +15 MP5 +15% Physical Lifesteal +20% Attack Speed,AURA - While you are within 55 units of an allied god you gain 20% Attack Speed Aura. If you are alone you instead gain 10% Movement Speed.
Infused Sigil,"Starter, Defensive",Tier 2,1500,2150,+35 Physical Power +30 Physical Protection +30 Magical Protection +300 Health,"When you are hit by an ability the Infused Sigil gains a stack. This can occur only once per ability cast. At 4 stacks it explodes after 0.5s, dealing 600 Physical Damage to enemies within 30 units of you."
Leader's Cowl,"Starter, Offensive, Defensive, Utility",Tier 2,1500,2150,+50 Physical Power +250 Health +20% Attack Speed +15% Physical Lifesteal,AURA - You provide 5% increased Power to all nearby allied gods. This aura gains a bonus stack for each ally god within 55 units causing it to provide an additional 3% increased Power. For each enemy god within 55 units a stack is removed.
Manikin Hidden Blade,"Starter, Offensive, Defensive",Tier 2,1500,2150,+65 Magical Power +45 Physical Power +25 Physical Protection +15% Attack Speed,"If you have not taken or dealt damage in the last 5s and hit an enemy god, Jungle Monster, or Jungle Boss, they immediately take 20% of their Current Health as Physical Damage and are slowed by 25% for 3s."
Manikin Mace,"Starter, Offensive, Defensive",Tier 2,1500,2150,+50 Basic Attack Damage +25 Physical Protection +100 Health +20% Attack Speed,"Enemies hit by your Basic Attacks are burned, taking 60 physical damage over 2s and have their Attack Speed slowed by 10%. Jungle Monsters and Bosses take 4x damage and restore 2.5% Health and 5% Mana when they die. This effect can stack up to 4 times."
Ornate Arrow,"Starter, Offensive, Defensive",Tier 2,1500,2150,+60 Basic Attack Damage +100 Health +10% Attack Speed +15% Physical Critical Strike Chance,"All sources of gold gain are increased by 5%. For every 100 gold you have gain 1.25% Attack Speed and 1% Physical Critical Strike Chance, up to a maximum of 20 stacks."
Protector of the Jungle,"Starter, Offensive, Defensive",Tier 2,1500,2150,+50 Physical Power +70 Magical Power +25 Physical Protection +25 Magical Protection,While in the jungle you gain 15% Power and 7% Protections.
Sacrificial Shroud,"Starter, Offensive, Defensive",Tier 2,1500,2150,+95 Magical Power +40 Physical Protection +15 MP5 +18% Magical Lifesteal,"Your abilities deal 15% more damage, but cost 3% of your Maximum Health. If the cost would kill you, you instead don't pay the cost."
Seer of the Jungle,"Starter, Offensive, Defensive",Tier 2,1500,2150,+50 Physical Power +70 Magical Power +35 Physical Protection +25% Attack Speed,"You deal 35% increased damage to Jungle Monsters and Jungle Bosses. Upon defeating a Large Jungle Monster or Jungle Boss, you gain the ability to see wards for 30s."
Sigil of the Old Guard,"Starter, Defensive",Tier 2,1500,2150,+25 Physical Power +40 Physical Protection +65 Magical Protection +150 Health,"You gain 3% Damage Mitigation. Whenever you are hit by an ability you gain a stack of Rebuke, providing an additional 3% Damage Mitigation for 8s and healing for 1% of your Max Health. This occurs only once per ability cast. This can stack up to three times."
Sundering Axe,"Starter, Defensive",Tier 2,1500,2150,+30 Physical Power +45 Magical Power +25 Physical Protection +25 Magical Protection,Damaging an enemy god steals 3% (+2% of your Protection from items) of their Current Health away from your target and restores it to you. This effect can only occur once every 10s.
Archmage's Gem,"Starter, Offensive, Utility",Tier 2,1500,2200,+85 Magical Power +200 Mana +25 MP5,"Every 0.5s you gain a stack of Demise, causing your next damaging ability that hits an enemy god deals an additional 1.5% of your Magical Power in damage and remove all stacks. This effect stacks up to 20 times."
Gem of Focus,"Starter, Offensive, Defensive, Utility",Tier 2,1500,2200,+70 Magical Power +100 Health +15 MP5,"Every time you cast an ability that costs mana you gain a stack of Focus for 10s, providing 5% Movement Speed and 5% Damage Increase, stacking up to 3 times."
Pendulum of Ages,"Starter, Offensive, Utility",Tier 2,1500,2200,+60 Magical Power +20 MP5 +20% Cooldown Reduction,This item grants 4 MP5 per 10% of your missing Mana. This item grants 7 Magical power per 10% of your available Mana.
Tainted Amulet,"Starter, Offensive, Defensive",Tier 2,1500,2200,+20 Physical Power +35 Magical Power +25 Physical Protection +75 Magical Protection,Enemy Gods that you hit have their healing taken reduced by 30% for 5s. You are healed for 120% of the healing reduced.
Tainted Breastplate,"Starter, Offensive, Defensive",Tier 2,1500,2200,+35 Physical Power +55 Magical Power +70 Physical Protection +25 Magical Protection,Enemy gods that you hit have their healing taken reduced by 50% for 5s.
The Alternate Timeline,"Starter, Offensive, Defensive, Utility",Tier 2,1500,2200,+50 Magical Power +35 Physical Protection +35 Magical Protections +10% Cooldown Reduction,"When you would die you instead find a timeline you are still alive, becoming CC Immune, Damage Immune, and unable to act. After 1.75s you are restored to 40% Health and Mana and can act again. This can only occur once every 6 minutes."
Magic Acorn,Utility,Tier 1,,,+2% Movement Speed,This item can be upgraded from anywhere. Ratatoskr can only have 1 Acorn item.
Mystical Earrings,Utility,Tier 1,400,,+15 MP5,
Ancient Blade,"Defensive, Utility",Tier 1,550,,+50 Health +5% Movement Speed,
Lost Artifact,"Offensive, Utility",Tier 1,550,,+20 Magical Power +5 MP5,
Breastplate,Defensive,Tier 1,600,,+20 Physical Protection,
Cloak,Defensive,Tier 1,600,,+10 Physical Protection +10 Magical Protection,
Emerald Ring,Offensive,Tier 1,600,,+20 Magical Power +5% Attack Speed,
Glowing Emerald,Defensive,Tier 1,600,,+100 Health +10 HP5,
Katana,"Offensive, Utility",Tier 1,600,,+7 Physical Power +3% Movement Speed,This item and all upgrades are only available to Assassins and Warriors.
Light Blade,Offensive,Tier 1,600,,+5 Physical Power +10% Attack Speed,
Morningstar,"Offensive, Utility",Tier 1,600,,+7 Physical Power +50 Mana,
Spiked Gauntlet,Offensive,Tier 1,600,,+7 Physical Power +3% Physical Lifesteal,
Tiny Trinket,Offensive,Tier 1,600,,+25 Magical Power +6% Magical Lifesteal,
Blessed Scepter,"Offensive, Defensive, Utility",Tier 1,650,,+10 Physical Power +50 Health +5 MP5,
Cudgel,"Offensive, Defensive",Tier 1,650,,+10 Physical Power +75 Health,
Druid Stone,"Offensive, Defensive",Tier 1,650,,+15 Physical Protection +15 Magical Protection +50 Health,
Enchanted Kusari,"Defensive, Utility",Tier 1,650,,+20 Magical Protection +5 MP5,
Iron Mail,Defensive,Tier 1,650,,+75 Health +10 Physical Protection,
Mace,Offensive,Tier 1,650,,+10 Physical Power,
Magic Focus,Offensive,Tier 1,650,,+20 Magical Power,
Restoring Wand,"Offensive, Defensive, Utility",Tier 1,650,,+15 Magical Power +50 Health +50 Mana,
Round Shield,Defensive,Tier 1,650,,+10 Physical Protection +10 HP5,
Short Bow,Offensive,Tier 1,650,,+15% Attack Speed,
Spellbook,"Offensive, Utility",Tier 1,650,,+20 Magical Power +75 Mana,
Talisman,Defensive,Tier 1,650,,+75 Health +15 Magical Protection,
Uncommon Staff,"Offensive, Defensive",Tier 1,650,,+15 Magical Power +75 Health,
Hidden Dagger,Offensive,Tier 1,700,,+15 Physical Power,
Gem of Fate,Utility,Tier 1,900,,+10% Cooldown Reduction,
Lively Acorn,"Offensive, Utility",Tier 2,700,,+15 Physical Power +4% Movement Speed,When Ratatoskr deals damage with an ability he restores 2% of his Maximum Health.
Nettle Acorn,"Offensive, Utility",Tier 2,700,,+15 Physical Power +4% Movement Speed,
Bound Gauntlet,Offensive,Tier 2,450,1050,+20 Physical Power +9% Physical Lifesteal,
Silver Breastplate,"Defensive, Utility",Tier 2,450,1050,+35 Physical Protection +200 Mana +10 MP5,
Adventurer's Blade,"Defensive, Utility",Tier 2,600,1150,+100 Health +7% Movement Speed,
Cleric's Cloak,"Defensive, Utility",Tier 2,550,1150,+15 Physical Protection +15 Magical Protection +5% Cooldown Reduction,
Enchanted Trinket,"Offensive, Defensive",Tier 2,550,1150,+30 Magical Power +100 Health +9% Magical Lifesteal,
Tower Shield,Defensive,Tier 2,500,1150,+30 Physical Protection +15 HP5,
Charged Bow,Offensive,Tier 2,550,1200,+20% Attack Speed,"Every fourth Basic Attack triggers a chain lightning, damaging the target and up to 4 nearby enemies for 15 damage +30% of your total Basic Attack Power."
Charged Morningstar,"Offensive, Utility",Tier 2,600,1200,+20 Physical Power +150 Mana +7 MP5,
Hunter's Bow,Offensive,Tier 2,550,1200,+20% Attack Speed +10 Physical Power,
Hydra's Star,"Offensive, Utility",Tier 2,600,1200,+20 Physical Power +5% Cooldown Reduction +100 Mana,"For 8 seconds after using an ability, your next basic attack will deal an additional 10% damage. The effect can only occur every 3 seconds."
Rose Spike Earrings,"Defensive, Utility",Tier 2,800,1200,+25 Magical Protection +250 Health +15 MP5,
Balanced Blade,Offensive,Tier 2,650,1250,+15 Physical Power +15% Attack Speed,
Cursed Blade,"Offensive, Defensive, Utility",Tier 2,700,1250,+75 Health +10% Attack Speed +5% Movement Speed,
Emerald Mail,Defensive,Tier 2,650,1250,+200 Health +10 HP5,
Silver Talisman,Defensive,Tier 2,600,1250,+125 Health +45 Magical Protection,
Spellbound Kusari,"Defensive, Utility",Tier 2,600,1250,+40 Magical Protection +15 MP5,
Thousand Fold Blade,"Offensive, Utility",Tier 2,650,1250,+20 Physical Power +5% Movement Speed,
Enchanted Ring,Offensive,Tier 2,700,1300,+40 Magical Power +15% Attack Speed,
Gleaming Ear Cuffs,"Offensive, Utility",Tier 2,900,1300,+20 Physical Power +30 Magical Power +15% Attack Speed +15 MP5,
Splendid Scepter,"Offensive, Defensive, Utility",Tier 2,650,1300,+20 Physical Power +100 Health +10 MP5,
Book of Souls,"Offensive, Utility",Tier 2,700,1350,+55 Magical Power +125 Mana,
Fortified Scepter,"Offensive, Defensive",Tier 2,700,1350,+50 Magical Power +150 Health +5% Crowd Control Reduction,
Heavy Hammer,"Offensive, Defensive",Tier 2,700,1350,+20 Physical Power +150 Health,
Rod of Healing,"Offensive, Defensive, Utility",Tier 2,700,1350,+55 Magical Power +75 Health +75 Mana,
Short Sword,Offensive,Tier 2,650,1350,+25 Physical Power,
Sorcerer's Staff,"Offensive, Defensive, Utility",Tier 2,700,1350,+45 Magical Power +100 Health +100 Mana,
Cursed Gauntlet,Offensive,Tier 2,800,1400,+25 Physical Power +6% Physical Lifesteal,
Emerald Talisman,"Defensive, Utility",Tier 2,800,1400,+200 Health +15 HP5 +10 MP5,Regenerates 0.2% of your max. Health every second.
Enchanted Spear,Offensive,Tier 2,750,1400,+60 Magical Power +5 Magical Penetration,
Jeweled Studs,"Offensive, Utility",Tier 2,1000,1400,+20 Physical Power +30 Magical Power +10% Cooldown Reduction +20 MP5,
Restored Artifact,"Offensive, Utility",Tier 2,850,1400,+60 Magical Power +15 MP5,
Sage's Stone,Defensive,Tier 2,750,1400,+25 Physical Protection +25 Magical Protection +100 Health,
Steel Mail,Defensive,Tier 2,750,1400,+200 Health +20 Physical Protection,
Talon Trinket,"Offensive, Utility",Tier 2,800,1400,+55 Magical Power +100 Mana +7.5% Magical Lifesteal,
Heavy Mace,Offensive,Tier 2,800,1450,+30 Physical Power,
Cloak of Concentration,"Defensive, Utility",Tier 2,900,1500,+30 Physical Protection +30 Magical Protection +7% Cooldown Reduction,
Spell Focus,Offensive,Tier 2,850,1500,+55 Magical Power +5% Magical Penetration,
Warrior's Bane,Offensive,Tier 2,850,1500,+25 Physical Power +5% Physical Penetration,
Apprentice Staff,"Offensive, Utility",Tier 2,700,1600,+50 Magical Power +10% Cooldown Reduction,
Cursed Orb,"Offensive, Utility",Tier 2,1050,1600,+55 Magical Power +15 MP5 +5 Magical Penetration +2% Movement Speed,"Killing or assisting an enemy minion provides you with 1 stack, granting 1% Movement Speed and 4 Magical Power per stack. Stacks last for 10s and stack up to 4 times. Enemy gods provide 4 stacks."
Honed Edge,"Offensive, Utility",Tier 2,700,1600,+30 Physical Power +10% Cooldown Reduction,
Knight's Shield,"Defensive, Utility",Tier 2,700,1600,+25 Physical Protection +25 Magical Protection +10% Cooldown Reduction,
Relic Dagger,"Defensive, Utility",Tier 3,700,1850,+300 Health +10% Cooldown Reduction +10% Crowd Control Reduction +7% Movement Speed,Your relics receive 50s Cooldown Reduction
Winged Blade,"Defensive, Utility",Tier 3,700,1850,+20 Magical Protection +150 Health +10% Crowd Control Reduction +7% Movement Speed,"When hit by a Slow, you and nearby allies within 30 units become immune to Slows and gain 20% increased Movement Speed for 4s. This effect can only occur once every 30 seconds."
Cannoneer's Cuirass,Defensive,Tier 3,750,2000,+30 Physical Protection +30 Magical Protection +250 Health +20 HP5,"Your next successful basic attack on an enemy lane minion causes it to explode, instantly killing it, dealing 50 (+10 Per Level) magical damage to enemies in a small area and providing 15 bonus gold to your nearest ally within 80 ft. This can only happen once every 7s."
Lotus Sickle,"Defensive, Utility",Tier 3,850,2000,+20 Physical Protection +250 Health +10% Cooldown Reduction +7% Movement Speed,Any god affected by your ability heals gains 10 increased Physical and Magical Protection for 5 seconds.
Bristlebush Acorn,"Offensive, Utility",Tier 3,1350,2050,+40 Physical Power +6% Movement Speed +25% Critical Strike Chance,Dart deals 40% increased damage and can Critically Strike. When Dart damages an enemy Ratatoskr gains 22.5% Physical Lifesteal and 20% Basic Attack damage for 6s.
Evergreen Acorn,"Offensive, Defensive, Utility",Tier 3,1350,2050,+35 Physical Power +6% Movement Speed +15% Maximum Health,When Ratatoskr deals damage to an enemy god with an ability he restores 5% of his Maximum Health and Mana.
Thickbark Acorn,"Offensive, Defensive, Utility",Tier 3,1350,2050,+35 Physical Power +6% Movement Speed +10% Protections,When Ratatoskr deals damage with an ability he restores 2% of his Maximum Health. Flurry now provides protections equal to the protections shred from enemy gods. Flurry gains an additional charge.
Thistlethorn Acorn,"Offensive, Utility",Tier 3,1350,2050,+40 Physical Power +6% Movement Speed,"Enemies hit by Acorn Blast are debuffed, taking 5% additional damage from Ratatoskr's abilities, stacking up to 3 times. Acorn Blast now fires 5 Acorns."
Heartward Amulet,"Defensive, Utility",Tier 3,850,2100,+45 Magical Protection +200 Health,AURA - Allied gods within 70 units have their Magical Protections increased by 15 and their MP5 increased by 30.
Odysseus' Bow,Offensive,Tier 3,900,2100,+35% Attack Speed,"Every fourth Basic Attack triggers a chain lightning, damaging the target and up to 4 nearby enemies for 15 damage +60% of your total Basic Attack Power."
Oni Hunter's Garb,"Defensive, Utility",Tier 3,850,2100,+150 Health +50 Magical Protection +30 MP5 +20% Crowd Control Reduction,"For each enemy God within 55 units of you, you gain a stack of 4% Damage Mitigation. This caps at 3 stacks."
Sovereignty,"Defensive, Utility",Tier 3,700,2100,+200 Health +35 Physical Protection,AURA - Allied gods within 70 units have their Physical Protections increased by 15 and their HP5 increased by 25.
Stone of Gaia,"Defensive, Utility",Tier 3,700,2100,+350 Health +25 HP5 +15 MP5,"If you are hit by a Knockup, Knockback, Pull, or Grab you gain 7% of your max Health over the next 5 seconds, as well as 15 Physical Power and 25 Magical Power while this regeneration is in effect. This effect does not trigger on Vortexes. Can only occur once every 15s. Regenerates 0.4% of your max health every second."
Golden Blade,"Offensive, Utility",Tier 3,900,2150,+25 Physical Power +20% Attack Speed +7% Movement Speed,"All Basic Attacks will also hit enemies within a 15 unit radius of the target for 50% of the damage to Gods, Minions and Jungle Camps."
Magi's Cloak,"Defensive, Utility",Tier 3,1000,2150,+25 Physical Protection +25 Magical Protection +10% Cooldown Reduction,"Protects you from a single hard Crowd Control effect once every 70 seconds. When this occurs, you gain 1s of Crowd Control immunity."
Phalanx,Defensive,Tier 3,1000,2150,+40 Physical Protection +200 Health +20 HP5 +10% Crowd Control Reduction,"When you are Basic Attacked by an enemy god, you and friendly lane minions within 40 units gain a stack, up to a max of 3. Stacks provide 10% Attack Speed and 7 of each Protection and last for 8s. Minions gain double the effects from each stack. Stacks cannot be gained more than one per second."
Talisman of Energy,"Offensive, Defensive, Utility",Tier 3,900,2150,+50 Magical Protection +250 Health,"Getting a kill or assist on enemies causes you and allies within 70 units to gain stacks of energy. Energy stacks provide 3% Movement Speed, 3% Attack Speed, and 15MP5 per stack. Lasts 10s and stacks up to 4 times. Killing or Assisting an enemy God provides maximum stacks."
Blackthorn Hammer,"Offensive, Defensive, Utility",Tier 3,850,2200,+35 Physical Power +300 Health +200 Mana,"While over 25% Mana, you gain +10% Cooldown Reduction. While under 25% Mana, you gain +50 MP5."
Erosion,"Defensive, Utility",Tier 3,800,2200,+25 Physical Protection +25 Magical Protection +300 Health,"Every time an enemy within 40 units gains a shield, you gain 15% Movement Speed for 4s. This effect can only occur once every 10s. AURA - Any Shields applied on enemy gods within 55 units will be reduced by 30%."
Genji's Guard,"Defensive, Utility",Tier 3,950,2200,+100 Health +60 Magical Protection +40 MP5 +10% Cooldown Reduction,When you take Magical Damage from Abilities your cooldowns are reduced by 3s. This can only occur once every 30s.
Griffonwing Earrings,"Offensive, Utility",Tier 3,900,2200,+40 Physical Power +60 Magical Power +30% Attack Speed +15 MP5,Your Basic Attack projectile speed is increased by 40%. This item is only available to Hunters and Mages.
Jotunn's Wrath,"Offensive, Utility",Tier 3,750,2200,+35 Physical Power +150 Mana +10 Physical Penetration +20% Cooldown Reduction,
